Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
90,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,4.92,1115,"[""[0]"", ""0"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969414931.276,,X
91,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,14.54,1116,,,,,6928969415005.472,,X
92,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,8.265,1117,"[""""]",,[[1]],[[512]],6928969415009.544,,X
93,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,4.69,1118,"[""""]",,[[1]],[[512]],6928969415012.493,,X
94,4097251,cpu_op,0,"[""float""]",detach,4097061,2.731,1119,"[""""]",,[[1]],[[512]],6928969415014.091,,X
95,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,11.644,1120,,,,,6928969415027.749,,X
96,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,5.795,1121,"[""""]",,[[1]],[[512]],6928969415031.486,,X
97,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,3.162,1122,"[""""]",,[[1]],[[512]],6928969415033.681,,X
98,4097251,cpu_op,0,"[""float""]",detach,4097061,1.166,1123,"[""""]",,[[1]],[[512]],6928969415035.258,,X
99,4097251,cpu_op,0,,autograd::engine::evaluate_function: ConvolutionBackward0,4097061,318.336,1124,,199,,,6928969415047.191,1,X
100,4097251,cpu_op,0,"[""float""]",ConvolutionBackward0,4097061,242.89,1125,"[""""]",199,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969415050.669,1,X
101,4097251,cpu_op,0,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""ScalarList""]",aten::convolution_backward,4097061,229.294,1126,"["""", """", """", ""[0]"", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""[True, True, False]""]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], [4608, 9, 3, 1], [], [], [], [], [], [], [], []]","[[5, 512, 7, 7], [5, 512, 7, 7], [512, 512, 3, 3], [], [], [], [], [], [], [], []]",6928969415062.953,,X
102,4097251,cpu_op,0,"[""float"", """", """", """", """", ""Scalar"", ""Scalar"", ""Scalar""]",aten::to,4097061,4.209,1127,"["""", """", """", """", """", ""False"", ""False"", ""0""]",,"[[25088, 49, 7, 1], [], [], [], [], [], [], []]","[[5, 512, 7, 7], [], [], [], [], [], [], []]",6928969415083.637,,X
103,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,8.034,1128,"[""[512, 512, 3, 3]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969415218.77,,X
104,4097251,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::add_,4097061,45.23,1129,"["""", """", ""1""]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], []]","[[5, 512, 7, 7], [5, 512, 7, 7], []]",6928969415311.885,,X
105,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,15.686,1130,,,,,6928969415381.955,,X
106,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,8.93,1131,"[""""]",,"[[4608, 9, 3, 1]]","[[512, 512, 3, 3]]",6928969415386.193,,X
107,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,4.705,1132,"[""""]",,"[[4608, 9, 3, 1]]","[[512, 512, 3, 3]]",6928969415389.785,,X
108,4097251,cpu_op,0,"[""float""]",detach,4097061,2.955,1133,"[""""]",,"[[4608, 9, 3, 1]]","[[512, 512, 3, 3]]",6928969415391.139,,X
109,4097251,cpu_op,0,,autograd::engine::evaluate_function: ReluBackward0,4097061,45.543,1134,,198,,,6928969415404.987,1,X
110,4097251,cpu_op,0,"[""float""]",ReluBackward0,4097061,34.689,1135,"[""""]",198,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969415407.959,1,X
111,4097251,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::threshold_backward,4097061,28.907,1136,"["""", """", ""0""]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], []]","[[5, 512, 7, 7], [5, 512, 7, 7], []]",6928969415412.585,,X
112,4097251,cpu_op,0,,autograd::engine::evaluate_function: AddBackward0,4097061,11.867,1137,,197,,,6928969415460.376,1,X
113,4097251,cpu_op,0,"[""float""]",AddBackward0,4097061,2.871,1138,"[""""]",197,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969415463.258,1,X
114,4097251,cpu_op,0,,autograd::engine::evaluate_function: CudnnBatchNormBackward0,4097061,112.141,1139,,196,,,6928969415479.3,1,X
115,4097251,cpu_op,0,"[""float""]",CudnnBatchNormBackward0,4097061,95.391,1140,"[""""]",196,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969415482.257,1,X
116,4097251,cpu_op,0,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",aten::cudnn_batch_norm_backward,4097061,86.798,1141,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], [1], [1], [1], [1], [1], [], [1]]","[[5, 512, 7, 7], [5, 512, 7, 7], [512], [512], [512], [512], [512], [], [0]]",6928969415489.656,,X
117,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,7.004,1142,"[""[5, 512, 7, 7]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969415501.173,,X
118,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,6.152,1143,"[""[512]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969415511.184,,X
119,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,6.006,1144,"[""[512]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969415519.803,,X
120,4097251,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,4097061,2.581,1145,"["""", ""[1, 512, 1, 1]""]",,"[[1], []]","[[512], []]",6928969415541.123,,X
