Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
99,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.804,16996,"["""", ""[512, 50]"", ""[1, 512]"", """"]",,"[[512, 1], [], [], []]","[[50, 512], [], [], []]",6939565490984.092,,X
100,125589,cpu_op,0,"[""float"", ""float""]",aten::mm,122891,44.446,16997,"["""", """"]",,"[[1, 512], [2048, 1]]","[[512, 50], [50, 2048]]",6939565490990.586,,X
101,125589,cpu_op,0,"[""float""]",aten::t,122891,8.417,16998,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565491038.099,,X
102,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,5.044,16999,"["""", ""0"", ""1""]",,"[[2048, 1], [], []]","[[512, 2048], [], []]",6939565491040.055,,X
103,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.325,17000,"["""", ""[2048, 512]"", ""[1, 2048]"", """"]",,"[[2048, 1], [], [], []]","[[512, 2048], [], [], []]",6939565491043.183,,X
104,125589,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,122891,48.109,17001,"["""", ""[0]"", ""True"", """"]",,"[[512, 1], [], [], []]","[[50, 512], [], [], []]",6939565491052.995,,X
105,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,2.668,17002,"["""", ""[512]""]",,"[[512, 1], []]","[[1, 512], []]",6939565491104.674,,X
106,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,17.763,17003,,,,,6939565491136.927,,X
107,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,9.788,17004,"[""""]",,[[1]],[[512]],6939565491141.75,,X
108,125589,cpu_op,0,"[""float""]",aten::detach,122891,5.442,17005,"[""""]",,[[1]],[[512]],6939565491145.077,,X
109,125589,cpu_op,0,"[""float""]",detach,122891,2.841,17006,"[""""]",,[[1]],[[512]],6939565491147.144,,X
110,125589,cpu_op,0,,autograd::engine::evaluate_function: TBackward0,122891,20.354,17007,,5205,,,6939565491164.314,1,X
111,125589,cpu_op,0,"[""float""]",TBackward0,122891,11.12,17008,"[""""]",5205,"[[1, 2048]]","[[2048, 512]]",6939565491168.055,1,X
112,125589,cpu_op,0,"[""float""]",aten::t,122891,8.418,17009,"[""""]",,"[[1, 2048]]","[[2048, 512]]",6939565491170.068,,X
113,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,4.597,17010,"["""", ""0"", ""1""]",,"[[1, 2048], [], []]","[[2048, 512], [], []]",6939565491172.312,,X
114,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.2,17011,"["""", ""[512, 2048]"", ""[2048, 1]"", """"]",,"[[1, 2048], [], [], []]","[[2048, 512], [], [], []]",6939565491175.101,,X
115,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,14.274,17012,,,,,6939565491195.615,,X
116,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,7.537,17013,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565491199.696,,X
117,125589,cpu_op,0,"[""float""]",aten::detach,122891,4.364,17014,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565491202.094,,X
118,125589,cpu_op,0,"[""float""]",detach,122891,1.923,17015,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565491204.031,,X
119,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,17.144,17016,,5204,,,6939565491219.195,1,X
