Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
274,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.215,1299,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619337.725,,X
275,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.6,1300,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619339.539,,X
276,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.214,1301,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619340.644,,X
277,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.599,1302,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619342.386,,X
278,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.16,1303,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619343.541,,X
279,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.766,1304,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619345.32,,X
280,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.167,1305,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619346.647,,X
281,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,29.676,1306,,,,,6935384619489.073,,X
282,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,21.135,1307,"[""""]",,"[[10, 1]]","[[200, 10]]",6935384619494.82,,X
283,36890,cpu_op,0,"[""float""]",aten::detach,30902,10.625,1308,"[""""]",,"[[10, 1]]","[[200, 10]]",6935384619504.429,,X
284,36890,cpu_op,0,"[""float""]",detach,30902,6.812,1309,"[""""]",,"[[10, 1]]","[[200, 10]]",6935384619507.824,,X
285,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.924,1310,,,,,6935384619527.186,,X
286,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.606,1311,"[""""]",,[[1]],[[200]],6935384619530.515,,X
287,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.568,1312,"[""""]",,[[1]],[[200]],6935384619532.122,,X
288,36890,cpu_op,0,"[""float""]",detach,30902,1.167,1313,"[""""]",,[[1]],[[200]],6935384619533.199,,X
289,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,10.01,1314,,,,,6935384619544.818,,X
290,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.541,1315,"[""""]",,[[1]],[[200]],6935384619548.173,,X
291,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.516,1316,"[""""]",,[[1]],[[200]],6935384619549.786,,X
292,36890,cpu_op,0,"[""float""]",detach,30902,1.137,1317,"[""""]",,[[1]],[[200]],6935384619550.822,,X
293,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,10.05,1318,,,,,6935384619562.521,,X
294,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.789,1319,"[""""]",,[[1]],[[200]],6935384619565.756,,X
295,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.999,1320,"[""""]",,[[1]],[[200]],6935384619567.142,,X
296,36890,cpu_op,0,"[""float""]",detach,30902,1.437,1321,"[""""]",,[[1]],[[200]],6935384619568.376,,X
297,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,10.423,1322,,,,,6935384619580.224,,X
298,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.647,1323,"[""""]",,[[1]],[[200]],6935384619583.668,,X
299,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.735,1324,"[""""]",,[[1]],[[200]],6935384619585.175,,X
300,36890,cpu_op,0,"[""float""]",detach,30902,1.373,1325,"[""""]",,[[1]],[[200]],6935384619586.201,,X
301,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.701,1326,,,,,6935384619598.221,,X
302,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.642,1327,"[""""]",,[[1]],[[200]],6935384619601.342,,X
303,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.651,1328,"[""""]",,[[1]],[[200]],6935384619602.924,,X
304,36890,cpu_op,0,"[""float""]",detach,30902,1.205,1329,"[""""]",,[[1]],[[200]],6935384619604.053,,X
305,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.652,1330,,,,,6935384619615.703,,X
306,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.452,1331,"[""""]",,[[1]],[[200]],6935384619618.938,,X
307,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.621,1332,"[""""]",,[[1]],[[200]],6935384619620.323,,X
308,36890,cpu_op,0,"[""float""]",detach,30902,1.184,1333,"[""""]",,[[1]],[[200]],6935384619621.438,,X
309,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.691,1334,,,,,6935384619633.226,,X
310,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.503,1335,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619636.442,,X
311,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.552,1336,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619637.992,,X
312,36890,cpu_op,0,"[""float""]",detach,30902,1.212,1337,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619639.008,,X
313,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.824,1338,,,,,6935384619650.536,,X
314,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.71,1339,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619653.651,,X
315,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.656,1340,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619655.26,,X
316,36890,cpu_op,0,"[""float""]",detach,30902,1.224,1341,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619656.367,,X
317,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.811,1342,,,,,6935384619667.87,,X
318,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.66,1343,"[""""]",,[[1]],[[200]],6935384619671.034,,X
319,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.736,1344,"[""""]",,[[1]],[[200]],6935384619672.552,,X
320,36890,cpu_op,0,"[""float""]",detach,30902,1.338,1345,"[""""]",,[[1]],[[200]],6935384619673.626,,X
321,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.496,1346,,,,,6935384619685.186,,X
322,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.36,1347,"[""""]",,[[1]],[[200]],6935384619688.379,,X
323,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.556,1348,"[""""]",,[[1]],[[200]],6935384619689.78,,X
324,36890,cpu_op,0,"[""float""]",detach,30902,1.211,1349,"[""""]",,[[1]],[[200]],6935384619690.795,,X
325,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.448,1350,,,,,6935384619702.532,,X
326,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.33,1351,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619705.656,,X
327,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.484,1352,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619707.097,,X
328,36890,cpu_op,0,"[""float""]",detach,30902,1.173,1353,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619708.082,,X
329,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.973,1354,,,,,6935384619719.517,,X
330,36890,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,30902,4.69,1355,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619722.812,,X
331,36890,cpu_op,0,"[""float""]",aten::detach,30902,2.655,1356,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619724.427,,X
332,36890,cpu_op,0,"[""float""]",detach,30902,1.395,1357,"[""""]",,"[[50, 1]]","[[200, 50]]",6935384619725.368,,X
333,36890,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,30902,9.404,1358,,,,,6935384619737.069,,X
