ts,tid,pid,cat,ph,bp,name,id
6928969547113.844,4097251,4097061,ac2g,s,,ac2g,13086
6928969547132.049,7,0,ac2g,f,e,ac2g,13088
6928969547123.455,4097251,4097061,ac2g,s,,ac2g,13088
6928969547133.631,4097251,4097061,ac2g,f,e,ac2g,13090
6928969547135.064,4097251,4097061,ac2g,f,e,ac2g,13091
6928969547143.793,7,0,ac2g,f,e,ac2g,13092
6928969547136.024,4097251,4097061,ac2g,s,,ac2g,13092
6928969547144.08,4097251,4097061,ac2g,f,e,ac2g,13095
6928969547181.585,7,0,ac2g,f,e,ac2g,13096
6928969547145.807,4097251,4097061,ac2g,s,,ac2g,13096
6928969547250.001,7,0,ac2g,f,e,ac2g,13116
6928969547238.448,4097251,4097061,ac2g,s,,ac2g,13116
6928969547323.02,4097251,4097061,ac2g,f,e,ac2g,13148
6928969547325.671,4097251,4097061,ac2g,f,e,ac2g,13149
6928969547326.807,4097251,4097061,ac2g,f,e,ac2g,13150
6928969547327.749,4097251,4097061,ac2g,f,e,ac2g,13151
6928969547351.375,4097251,4097061,ac2g,f,e,ac2g,13159
6928969547364.177,7,0,ac2g,f,e,ac2g,13160
6928969547354.113,4097251,4097061,ac2g,s,,ac2g,13160
6928969547474.745,4097251,4097061,ac2g,f,e,ac2g,13184
6928969547477.576,4097251,4097061,ac2g,f,e,ac2g,13185
6928969547478.572,4097251,4097061,ac2g,f,e,ac2g,13186
6928969547479.444,4097251,4097061,ac2g,f,e,ac2g,13187
6928969547506.897,7,0,ac2g,f,e,ac2g,13191
6928969547496.386,4097251,4097061,ac2g,s,,ac2g,13191
6928969547517.489,7,0,ac2g,f,e,ac2g,13193
6928969547508.92,4097251,4097061,ac2g,s,,ac2g,13193
6928969547519.512,4097251,4097061,ac2g,f,e,ac2g,13195
6928969547521.467,4097251,4097061,ac2g,f,e,ac2g,13196
6928969547531.121,7,0,ac2g,f,e,ac2g,13197
6928969547522.78,4097251,4097061,ac2g,s,,ac2g,13197
6928969547530.861,4097251,4097061,ac2g,f,e,ac2g,13200
6928969547554.641,7,0,ac2g,f,e,ac2g,13201
6928969547533.099,4097251,4097061,ac2g,s,,ac2g,13201
6928969547562.994,4097251,4097061,ac2g,f,e,ac2g,13214
6928969547565.092,4097251,4097061,ac2g,f,e,ac2g,13215
6928969547566.189,4097251,4097061,ac2g,f,e,ac2g,13216
6928969547566.928,4097251,4097061,ac2g,f,e,ac2g,13217
6928969547587.025,7,0,ac2g,f,e,ac2g,13221
6928969547578.522,4097251,4097061,ac2g,s,,ac2g,13221
6928969547596.657,7,0,ac2g,f,e,ac2g,13223
6928969547588.3,4097251,4097061,ac2g,s,,ac2g,13223
6928969547601.402,4097251,4097061,ac2g,f,e,ac2g,13225
6928969547603.829,4097251,4097061,ac2g,f,e,ac2g,13226
6928969547615.057,7,0,ac2g,f,e,ac2g,13227
6928969547605.303,4097251,4097061,ac2g,s,,ac2g,13227
6928969547639.665,7,0,ac2g,f,e,ac2g,13230
6928969547620.102,4097251,4097061,ac2g,s,,ac2g,13230
6928969547629.257,4097251,4097061,ac2g,f,e,ac2g,13233
6928969547642.673,7,0,ac2g,f,e,ac2g,13234
6928969547631.048,4097251,4097061,ac2g,s,,ac2g,13234
6928969547683.536,7,0,ac2g,f,e,ac2g,13243
6928969547673.356,4097251,4097061,ac2g,s,,ac2g,13243
6928969547769.648,7,0,ac2g,f,e,ac2g,13263
6928969547759.716,4097251,4097061,ac2g,s,,ac2g,13263
6928969547860.817,4097251,4097061,ac2g,f,e,ac2g,13299
6928969547863.602,4097251,4097061,ac2g,f,e,ac2g,13300
6928969547864.699,4097251,4097061,ac2g,f,e,ac2g,13301
6928969547865.721,4097251,4097061,ac2g,f,e,ac2g,13302
6928969547889.968,4097251,4097061,ac2g,f,e,ac2g,13310
6928969547903.504,7,0,ac2g,f,e,ac2g,13311
6928969547892.9,4097251,4097061,ac2g,s,,ac2g,13311
6928969548015.131,4097251,4097061,ac2g,f,e,ac2g,13335
6928969548017.907,4097251,4097061,ac2g,f,e,ac2g,13336
6928969548018.975,4097251,4097061,ac2g,f,e,ac2g,13337
6928969548019.892,4097251,4097061,ac2g,f,e,ac2g,13338
6928969548047.248,7,0,ac2g,f,e,ac2g,13342
6928969548036.282,4097251,4097061,ac2g,s,,ac2g,13342
6928969548057.072,7,0,ac2g,f,e,ac2g,13344
6928969548049.188,4097251,4097061,ac2g,s,,ac2g,13344
6928969548060.527,4097251,4097061,ac2g,f,e,ac2g,13346
6928969548062.964,4097251,4097061,ac2g,f,e,ac2g,13347
6928969548074.064,7,0,ac2g,f,e,ac2g,13348
6928969548064.706,4097251,4097061,ac2g,s,,ac2g,13348
6928969548074.547,4097251,4097061,ac2g,f,e,ac2g,13351
6928969548101.936,7,0,ac2g,f,e,ac2g,13352
6928969548076.945,4097251,4097061,ac2g,s,,ac2g,13352
6928969548107.353,4097251,4097061,ac2g,f,e,ac2g,13365
6928969548109.415,4097251,4097061,ac2g,f,e,ac2g,13366
